country,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,life2005,life2006,life2007,life2008,life2009,life2010,life2011,life2012,life2013,life2014,life2015,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015
Algeria,4270,4280,4360,4390,4390,4460,4500,4560,4600,4680,4760,75.3,75.5,75.7,75.9,76.1,76.3,76.5,76.8,76.9,77,77.1,33100000,33600000,34200000,34700000,35300000,36000000,36700000,37400000,38100000,38900000,39700000
Angola,2390,2740,3260,3580,3540,3530,3540,3590,3710,3750,3730,55.7,56.4,57.5,58.4,59.1,59.9,60.6,61.3,61.9,62.8,63.3,19400000,20100000,20900000,21700000,22500000,23400000,24200000,25100000,26000000,26900000,27900000
Australia,48800,49400,51000,51800,51700,51900,52500,53600,54000,54500,55000,81.2,81.4,81.4,81.5,81.7,82,82.1,82.5,82.6,82.5,82.5,20200000,20500000,20900000,21300000,21800000,22200000,22500000,22900000,23300000,23600000,23900000
Bahamas,31000,31200,31000,29800,28000,28000,27700,28100,27600,27200,27200,73.4,73,73.5,73.5,73.3,73.4,73.4,73.4,73.5,73.5,73.3,325000,331000,337000,344000,350000,355000,360000,364000,367000,371000,374000
Belgium,43000,43800,45000,45000,43600,44400,44600,44300,44200,44700,45100,79.2,79.6,79.6,79.6,79.8,80.1,80.2,80.3,80.5,80.9,80.9,10500000,10600000,10700000,10800000,10900000,10900000,11000000,11100000,11200000,11200000,11300000
Brazil,9500,9760,10200,10700,10500,11200,11600,11700,11900,11900,11400,73.1,73.5,73.7,74,74.2,74.4,74.5,74.9,75.1,75.3,75.5,186000000,188000000,190000000,192000000,194000000,196000000,198000000,199000000,201000000,203000000,204000000
Canada,47200,48000,48600,48500,46500,47400,48500,48700,49400,50200,50300,80.2,80.6,80.7,80.8,81.1,81.4,81.7,81.7,81.9,81.8,81.7,32200000,32500000,32900000,33300000,33700000,34100000,34500000,34900000,35300000,35700000,36000000
China,2740,3070,3490,3810,4140,4560,4970,5340,5720,6110,6500,74.2,74.9,75.4,75.4,75.7,75.8,76,76.2,76.5,76.5,76.5,1330000000,1340000000,1350000000,1350000000,1360000000,1370000000,1380000000,1380000000,1390000000,1400000000,1410000000
Colombia,5310,5600,5910,6050,6080,6250,6590,6790,7050,7290,7450,76.4,76.6,77.3,77.6,77.7,78.1,78.9,79.3,79.6,80,80,42600000,43200000,43700000,44300000,44800000,45200000,45700000,46100000,46500000,47000000,47500000
Cyprus,30600,31400,32200,32700,31200,30800,30100,28800,27100,27000,27700,77.9,78.4,78.8,79.3,79.7,80.1,80.5,80.9,81.1,81.3,81.5,1030000,1050000,1060000,1080000,1100000,1110000,1120000,1140000,1140000,1150000,1160000
