country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,4270,4280,4360,4390,4390,4460,4500,4560,4600,4680,4760
Angola,2390,2740,3260,3580,3540,3530,3540,3590,3710,3750,3730
Australia,48800,49400,51000,51800,51700,51900,52500,53600,54000,54500,55000
Bahamas,31000,31200,31000,29800,28000,28000,27700,28100,27600,27200,27200
Belgium,43000,43800,45000,45000,43600,44400,44600,44300,44200,44700,45100
Brazil,9500,9760,10200,10700,10500,11200,11600,11700,11900,11900,11400
Canada,47200,48000,48600,48500,46500,47400,48500,48700,49400,50200,50300
China,2740,3070,3490,3810,4140,4560,4970,5340,5720,6110,6500
Colombia,5310,5600,5910,6050,6080,6250,6590,6790,7050,7290,7450
Cyprus,30600,31400,32200,32700,31200,30800,30100,28800,27100,27000,27700
Egypt,2110,2220,2330,2460,2520,2600,2590,2590,2590,2610,2670
Ethiopia,233,251,272,294,311,341,370,391,421,453,487
France,40300,40900,41600,41500,40100,40600,41300,41200,41200,41400,41600
Germany,39000,40500,41800,42400,40100,41800,44100,44300,44400,45000,45400
Hungary,13100,13600,13700,13900,13000,13100,13300,13200,13500,14100,14600
India,971,1040,1130,1160,1240,1350,1420,1470,1550,1650,1760
Iraq,3860,4140,4100,4330,4350,4500,4700,5180,5390,5250,5340
Italy,37200,37900,38200,37600,35400,35800,36000,34900,33900,33600,34000
Japan,44400,45000,45700,45200,42700,44500,44500,45300,46200,46500,47200
Kenya,869,900,936,912,917,967,999,1020,1050,1080,1110
Lesotho,968,1000,1040,1100,1110,1170,1240,1290,1300,1320,1340
Madagascar,414,422,436,454,423,413,407,408,406,409,410
Malaysia,7980,8270,8640,8890,8600,9070,9380,9710,9980,10400,10700
Zimbabwe,812,772,733,593,652,720,814,914,942,940,934
Zambia,1110,1160,1230,1290,1370,1460,1500,1570,1600,1620,1620
United States,48800,49600,50000,49400,47600,48400,48800,49500,50000,50900,51900
United Kingdom,39700,40400,41100,40500,38500,38900,39200,39500,40000,40900,41500
Uganda,480,514,538,565,583,595,629,632,632,643,654
Turkey,9690,10300,10600,10600,9970,10700,11700,12100,12900,13300,13900
Tunisia,3490,3640,3850,3970,4040,4140,4010,4130,4200,4270,4270
Thailand,4340,4530,4740,4800,4740,5080,5090,5440,5560,5590,5740
Tanzania,611,620,652,667,681,702,734,748,777,806,836
Syria,1190,1280,1390,1460,1460,1480,1590,1800,1830,1840,1880
Switzerland,70500,72800,75100,75800,73200,74600,75000,75000,75500,76400,76500
Spain,31100,31900,32500,32300,30900,30700,30300,29400,29000,29500,30500
South Africa,6600,6890,7190,7340,7150,7280,7420,7480,7550,7580,7580
Somalia,1160,1210,1270,1330,1240,1290,1430,1460,1470,1480,1480
Singapore,40000,42200,44200,42700,41100,46600,48500,49300,50900,52200,52800
Rwanda,431,460,482,521,539,563,593,628,641,673,714
Russia,8930,9690,10500,11100,10200,10700,11200,11600,11800,11700,11300
Qatar,61700,66600,66800,67300,65800,70300,72700,70400,68900,67900,67300
Portugal,22000,22300,22800,22800,22100,22500,22200,21400,21200,21500,22000
Philippines,1820,1880,1970,2020,2010,2130,2170,2280,2400,2510,2620
Pakistan,975,1010,1040,1040,1050,1040,1050,1060,1080,1110,1140
North Korea,3760,3940,4190,4420,4400,4540,4650,4620,4750,4920,5100
Nigeria,1880,1980,2060,2130,2220,2330,2380,2410,2480,2560,2560
New Zealand,32900,33300,34300,33400,33700,33700,34300,35000,35400,36100,37000
Netherlands,48100,49700,51400,52100,49900,50300,50900,50200,50000,50500,51400
Morocco,2360,2510,2570,2690,2770,2830,2940,2990,3080,3110,3210
